,Data,Cluster,적합도
0,강진군,0,0.239388094157582
1,고흥군,0,0.248021973281704
2,괴산군,0,0.240953642283786
3,구례군,0,0.235848963930681
4,금산군,0,0.243573278498755
5,남원시,0,0.261939458267215
6,보성군,0,0.235361754725759
7,산청군,0,0.235200501365115
8,신안군,0,0.234901143625375
9,영광군,0,0.245984011987101
10,영덕군,0,0.24474994971074
11,영천시,0,0.258421573913102
12,예천군,0,0.244426616911105
13,완도군,0,0.241003271622655
14,울진군,0,0.256338380362467
15,음성군,0,0.310710317155062
16,인제군,0,0.247415018226921
17,장성군,0,0.238730027406301
18,장수군,0,0.23193808048128
19,진도군,0,0.252639415852469
20,진안군,0,0.233102106297523
21,철원군,0,0.256319626558576
22,청송군,0,0.237991655313679
23,청양군,0,0.234066808254758
24,칠곡군,0,0.294447671464669
25,함양군,0,0.237094942932534
26,해남군,0,0.253776334397171
27,강북구,1,0.629191361701282
28,광산구,1,0.6823065558007
29,구로구,1,0.772088911461752
30,군포시,1,0.525253012640431
31,금정구,1,0.418318388097038
32,김천시,1,0.344591375616238
33,동대문구,1,0.660228572787734
34,동래구,1,0.430870296954889
35,무주군,1,0.250482356704101
36,사천시,1,0.314525502788777
37,사하구,1,0.390451043507047
38,아산시,1,0.612957868008299
39,양천구,1,0.713721837920738
40,오산시,1,0.517071036642149
41,은평구,1,0.752223490434084
42,의정부시,1,0.844051767537609
43,거제시,2,0.469049501072785
44,관악구,2,0.931858260082592
45,광주시,2,0.610337272815293
46,광진구,2,0.911926357203448
47,서대문구,2,0.775426261030971
48,양평군,2,0.279827781557678
49,춘천시,2,0.885726915099039
50,통영시,2,0.348329259265148
51,파주시,2,0.881438064382017
52,고령군,3,0.23576239013158
53,곡성군,3,0.234477991543152
54,나주시,3,0.295567947387854
55,논산시,3,0.293836984591997
56,밀양시,3,0.26015299044717
57,봉화군,3,0.232825305644044
58,성주군,3,0.238781114603229
59,예산군,3,0.269052903900794
60,완주군,3,0.261234147775862
61,의성군,3,0.239518546526936
62,익산시,3,0.425460418640679
63,정읍시,3,0.275309589517468
64,진주시,3,0.560945900408691
65,하동군,3,0.241586635061326
66,함안군,3,0.248218397708892
67,합천군,3,0.236973161499059
68,화천군,3,0.24742919109906
