기준연월,동반유형명,언급건수
202208,기타가족,2411586
202306,기타가족,1999062
202207,기타가족,1860984
202305,기타가족,1848186
202209,기타가족,1807884
202210,기타가족,1707786
202301,기타가족,1678698
202206,기타가족,1668168
202304,기타가족,1530954
202302,기타가족,1519560
202303,기타가족,1519560
202205,기타가족,1496322
202212,기타가족,1491912
202211,기타가족,1425960
202201,기타가족,1141812
202204,기타가족,1099602
202208,부모님,1091448
202202,기타가족,1024290
202203,기타가족,1010736
202208,친구,1010052
202206,부모님,1003302
202207,부모님,994464
202207,친구,971910
202306,친구,964044
202305,부모님,861930
202306,부모님,861678
202305,친구,841518
202209,부모님,837828
202205,부모님,820944
202210,부모님,791568
202301,부모님,769500
202208,자녀,755640
202206,친구,740916
202210,친구,738774
202209,친구,733446
202303,친구,728226
202302,부모님,723204
202304,친구,718092
202303,부모님,705924
202301,친구,697464
202302,친구,691290
202211,부모님,676026
202212,부모님,664632
202304,부모님,652176
202212,친구,644094
202211,친구,630360
202306,자녀,619776
202205,친구,615096
202207,자녀,606060
202302,자녀,603126
202306,회사동료,584388
202208,회사동료,565938
202304,회사동료,563958
202210,자녀,563184
202305,자녀,546714
202209,자녀,544878
202206,자녀,543582
202305,회사동료,536886
202301,자녀,527868
202212,자녀,525078
202201,부모님,523692
202211,자녀,510120
202201,친구,505728
202205,자녀,504090
202204,부모님,503208
202303,자녀,496566
202304,자녀,489366
202202,부모님,481500
202207,회사동료,467820
202204,친구,461322
202208,싱글,452304
202203,부모님,447444
202202,친구,440370
202208,배우자,439452
202209,회사동료,433116
202204,자녀,429300
202303,회사동료,429264
202210,회사동료,429192
202212,회사동료,420390
202203,친구,417636
202301,회사동료,415620
202206,싱글,408078
202206,회사동료,408006
202302,회사동료,396738
202207,싱글,389394
202211,회사동료,385110
202306,배우자,384804
202306,싱글,376956
202207,배우자,368280
202210,배우자,364914
202201,자녀,358740
202203,자녀,355608
202205,회사동료,351216
202203,회사동료,346788
202305,배우자,345510
202306,연인,344790
202210,싱글,342558
202209,배우자,341496
202208,연인,338382
202205,싱글,335826
202202,자녀,335772
202206,배우자,330768
202303,배우자,328122
202301,배우자,326448
202209,싱글,325584
202305,싱글,324144
202304,배우자,319716
202204,배우자,318780
202301,싱글,317574
202302,싱글,316998
202205,배우자,311688
202305,연인,310338
202302,배우자,309132
202211,배우자,306774
202212,배우자,305028
202303,싱글,299880
202212,싱글,295416
202211,싱글,280746
202207,연인,276768
202209,연인,276624
202206,연인,275274
202301,연인,275040
202304,싱글,271386
202303,연인,270396
202201,회사동료,258588
202304,연인,254340
202302,연인,246474
202210,연인,236826
202212,연인,234270
202203,배우자,231300
202202,회사동료,228672
202204,회사동료,219456
202205,연인,218772
202201,싱글,217260
202202,싱글,216072
202208,학생,215766
202302,학생,213498
202201,배우자,213228
202211,연인,202104
202201,연인,200016
202202,배우자,198270
202203,싱글,194850
202204,싱글,190098
202204,연인,187200
202207,학생,181872
202202,연인,174168
202203,연인,172998
202306,학생,165924
202301,학생,153630
202303,학생,144918
202305,학생,138204
202210,학생,132786
202209,학생,132192
202304,학생,129798
202212,학생,126684
202206,학생,125838
202205,학생,120744
202211,학생,106776
202201,학생,99846
202202,학생,88830
202204,학생,87804
202203,학생,78480
