기준연월,지역명,방문자 수
202201,제주특별자치도 제주시 ,5590239.0
202202,제주특별자치도 제주시 ,4831029.0
202203,제주특별자치도 제주시 ,4692568.0
202204,제주특별자치도 제주시 ,5215911.0
202205,제주특별자치도 제주시 ,5211568.0
202206,제주특별자치도 제주시 ,5497719.0
202207,제주특별자치도 제주시 ,7291538.0
202208,제주특별자치도 제주시 ,6155493.0
202209,제주특별자치도 제주시 ,4988408.0
202210,제주특별자치도 제주시 ,6001209.0
202211,제주특별자치도 제주시 ,5196776.0
202212,제주특별자치도 제주시 ,4749068.0
202301,제주특별자치도 제주시 ,5203011.0
202302,제주특별자치도 제주시 ,4868528.0
202303,제주특별자치도 제주시 ,5345546.0
202304,제주특별자치도 제주시 ,5147352.0
202305,제주특별자치도 제주시 ,5287218.0
202306,제주특별자치도 제주시 ,5113960.0
