±âÁØ¿¬¿ù,Áö¿ª¸í,¹æ¹®ÀÚ ¼ö
202201,°æ»óºÏµµ,1.3572455E7
202202,°æ»óºÏµµ,1.1622651E7
202203,°æ»óºÏµµ,1.305982E7
202204,°æ»óºÏµµ,1.3235264E7
202205,°æ»óºÏµµ,1.4803107E7
202206,°æ»óºÏµµ,1.4455848E7
202207,°æ»óºÏµµ,1.9106244E7
202208,°æ»óºÏµµ,1.7117273E7
202209,°æ»óºÏµµ,1.6984465E7
202210,°æ»óºÏµµ,1.6671341E7
202211,°æ»óºÏµµ,1.4030953E7
202212,°æ»óºÏµµ,1.2958671E7
202301,°æ»óºÏµµ,1.5387632E7
202302,°æ»óºÏµµ,1.2774226E7
202303,°æ»óºÏµµ,1.5824546E7
202304,°æ»óºÏµµ,1.4333316E7
202305,°æ»óºÏµµ,1.5894742E7
202306,°æ»óºÏµµ,1.4289296E7
