기준연월,목적지 유형,목적지 검색량
202201,숙박,145595
202201,음식,476056
202201,기타관광,151353
202201,쇼핑,397345
202201,자연관광,107089
202201,문화관광,114839
202201,역사관광,32630
202201,체험관광,4133
202201,레저스포츠,42054
202202,숙박,156880
202202,음식,499923
202202,기타관광,138602
202202,쇼핑,355251
202202,자연관광,101635
202202,문화관광,121084
202202,역사관광,30765
202202,체험관광,4047
202202,레저스포츠,43804
202203,숙박,150771
202203,음식,570988
202203,기타관광,150814
202203,쇼핑,381406
202203,자연관광,106921
202203,문화관광,141855
202203,역사관광,28281
202203,체험관광,3836
202203,레저스포츠,82456
202204,숙박,196928
202204,음식,701112
202204,기타관광,205420
202204,쇼핑,428171
202204,자연관광,141749
202204,문화관광,248699
202204,역사관광,42980
202204,체험관광,5651
202204,레저스포츠,107307
202205,숙박,238175
202205,음식,884968
202205,기타관광,263897
202205,쇼핑,470332
202205,자연관광,164088
202205,문화관광,277367
202205,역사관광,49039
202205,체험관광,9302
202205,레저스포츠,117287
202206,숙박,254728
202206,음식,976634
202206,기타관광,290219
202206,쇼핑,437586
202206,자연관광,150961
202206,문화관광,250352
202206,역사관광,36385
202206,체험관광,10466
202206,레저스포츠,109399
202207,숙박,276373
202207,음식,1085647
202207,기타관광,331158
202207,쇼핑,460633
202207,자연관광,144383
202207,문화관광,242725
202207,역사관광,31105
202207,체험관광,8336
202207,레저스포츠,105764
202208,숙박,290819
202208,음식,1099031
202208,기타관광,363238
202208,쇼핑,476761
202208,자연관광,165182
202208,문화관광,256897
202208,역사관광,38742
202208,체험관광,10854
202208,레저스포츠,102226
202209,숙박,251725
202209,음식,958927
202209,기타관광,349875
202209,쇼핑,522972
202209,자연관광,131912
202209,문화관광,262893
202209,역사관광,42015
202209,체험관광,9167
202209,레저스포츠,116339
202210,숙박,287623
202210,음식,1043733
202210,기타관광,423466
202210,쇼핑,647044
202210,자연관광,124107
202210,문화관광,289199
202210,역사관광,49955
202210,체험관광,11389
202210,레저스포츠,129029
202211,숙박,238335
202211,음식,895989
202211,기타관광,425761
202211,문화관광,221834
202211,쇼핑,572271
202211,자연관광,83382
202211,역사관광,37043
202211,체험관광,6911
202211,레저스포츠,105254
202212,숙박,258496
202212,음식,1002597
202212,기타관광,478842
202212,문화관광,192171
202212,쇼핑,600592
202212,자연관광,62543
202212,역사관광,23897
202212,체험관광,10003
202212,레저스포츠,50104
202301,숙박,201637
202301,음식,929972
202301,기타관광,541659
202301,문화관광,173563
202301,쇼핑,573873
202301,자연관광,76788
202301,역사관광,34979
202301,체험관광,11120
202301,레저스포츠,48080
202302,기타관광,506217
202302,문화관광,183307
202302,쇼핑,511978
202302,숙박,212972
202302,음식,934090
202302,자연관광,77767
202302,역사관광,32529
202302,체험관광,11513
202302,레저스포츠,54348
202303,기타관광,488888
202303,쇼핑,567368
202303,숙박,206911
202303,음식,985181
202303,자연관광,93731
202303,문화관광,222268
202303,역사관광,33746
202303,체험관광,7006
202303,레저스포츠,88244
202304,기타관광,514989
202304,문화관광,304547
202304,쇼핑,575876
202304,숙박,243543
202304,음식,1026028
202304,자연관광,107705
202304,역사관광,47296
202304,체험관광,9068
202304,레저스포츠,140941
202305,기타관광,535867
202305,쇼핑,586068
202305,숙박,239593
202305,음식,1068056
202305,자연관광,82960
202305,문화관광,280157
202305,역사관광,44993
202305,체험관광,9468
202305,레저스포츠,139228
202306,기타관광,568510
202306,쇼핑,490522
202306,숙박,256721
202306,음식,1079020
202306,자연관광,84310
202306,문화관광,292512
202306,역사관광,35108
202306,체험관광,9440
202306,레저스포츠,142999
